ranking,model,pid,recommendation
"[{'name': 'song_1', 'value': 'Cigarette Daydreams - by Cage The Elephant'}, {'name': 'song_2', 'value': 'Telescope - by Cage The Elephant'}, {'name': 'song_3', 'value': 'Halo - by Cage The Elephant'}, {'name': 'song_4', 'value': 'Shake Me Down - by Cage The Elephant'}, {'name': 'song_5', 'value': 'Walking The Cow - by Daniel Johnston'}, {'name': 'playlist_name', 'value': 'bus music'}]",gemma2-9b-it,246489,Ain't No Rest for the Wicked - by Cage The Elephant
"[{'name': 'song_1', 'value': 'Cigarette Daydreams - by Cage The Elephant'}, {'name': 'song_2', 'value': 'Telescope - by Cage The Elephant'}, {'name': 'song_3', 'value': 'Halo - by Cage The Elephant'}, {'name': 'song_4', 'value': 'Shake Me Down - by Cage The Elephant'}, {'name': 'song_5', 'value': 'Walking The Cow - by Daniel Johnston'}, {'name': 'playlist_name', 'value': 'bus music'}]",gemma2-9b-it,246489,Happy - by Pharrell Williams
"[{'name': 'song_1', 'value': 'Cigarette Daydreams - by Cage The Elephant'}, {'name': 'song_5', 'value': 'Walking The Cow - by Daniel Johnston'}, {'name': 'song_2', 'value': 'Telescope - by Cage The Elephant'}, {'name': 'song_3', 'value': 'Halo - by Cage The Elephant'}, {'name': 'song_4', 'value': 'Shake Me Down - by Cage The Elephant'}, {'name': 'playlist_name', 'value': 'bus music'}]",gemma2-9b-it,246489,The Night We Met - by Lord Huron
"[{'name': 'song_1', 'value': 'Cigarette Daydreams - by Cage The Elephant'}, {'name': 'song_2', 'value': 'Telescope - by Cage The Elephant'}, {'name': 'song_3', 'value': 'Halo - by Cage The Elephant'}, {'name': 'song_4', 'value': 'Shake Me Down - by Cage The Elephant'}, {'name': 'song_5', 'value': 'Walking The Cow - by Daniel Johnston'}, {'name': 'playlist_name', 'value': 'bus music'}]",gemma2-9b-it,246489,Uptown Funk - by Mark Ronson ft. Bruno Mars
"[{'name': 'playlist_name', 'value': 'Spanish'}, {'name': 'song_1', 'value': 'El Perdón - by Nicky Jam'}, {'name': 'song_2', 'value': 'DUELE EL CORAZON - by Enrique Iglesias'}, {'name': 'song_3', 'value': 'Traicionera - by Sebastian Yatra'}, {'name': 'song_4', 'value': 'Otra Vez (feat. J Balvin) - by Zion & Lennox'}, {'name': 'song_5', 'value': 'Baila Conmigo - by Juan Magán'}]",gemma2-9b-it,260786,Bohemian Rhapsody - by Queen
"[{'name': 'playlist_name', 'value': 'Spanish'}, {'name': 'song_1', 'value': 'El Perdón - by Nicky Jam'}, {'name': 'song_2', 'value': 'DUELE EL CORAZON - by Enrique Iglesias'}, {'name': 'song_3', 'value': 'Traicionera - by Sebastian Yatra'}, {'name': 'song_4', 'value': 'Otra Vez (feat. J Balvin) - by Zion & Lennox'}, {'name': 'song_5', 'value': 'Baila Conmigo - by Juan Magán'}]",gemma2-9b-it,260786,Despacito - by Luis Fonsi ft. Daddy Yankee
"[{'name': 'playlist_name', 'value': 'Spanish'}, {'name': 'song_1', 'value': 'El Perdón - by Nicky Jam'}, {'name': 'song_2', 'value': 'DUELE EL CORAZON - by Enrique Iglesias'}, {'name': 'song_3', 'value': 'Traicionera - by Sebastian Yatra'}, {'name': 'song_4', 'value': 'Otra Vez (feat. J Balvin) - by Zion & Lennox'}, {'name': 'song_5', 'value': 'Baila Conmigo - by Juan Magán'}]",gemma2-9b-it,260786,Hallelujah - by Leonard Cohen
"[{'name': 'song_4', 'value': 'Otra Vez (feat. J Balvin) - by Zion & Lennox'}, {'name': 'song_1', 'value': 'El Perdón - by Nicky Jam'}, {'name': 'song_2', 'value': 'DUELE EL CORAZON - by Enrique Iglesias'}, {'name': 'song_3', 'value': 'Traicionera - by Sebastian Yatra'}, {'name': 'song_5', 'value': 'Baila Conmigo - by Juan Magán'}, {'name': 'playlist_name', 'value': 'Spanish'}]",gemma2-9b-it,260786,Mi Gente - by J Balvin & Willy William
"[{'name': 'song_1', 'value': 'Paris - by The Chainsmokers'}, {'name': 'song_3', 'value': 'Weekend (feat. Miguel) - by Mac Miller'}, {'name': 'playlist_name', 'value': 'get away'}, {'name': 'song_5', 'value': 'Another Day in Paradise - by Quinn XCII'}, {'name': 'song_2', 'value': 'Go Fuck Yourself - by Two Feet'}, {'name': 'song_4', 'value': 'No Problem (feat. Lil Wayne & 2 Chainz) - by Chance The Rapper'}]",gemma2-9b-it,299136,Lost in Japan - by Shawn Mendes
"[{'name': 'song_1', 'value': 'Paris - by The Chainsmokers'}, {'name': 'song_3', 'value': 'Weekend (feat. Miguel) - by Mac Miller'}, {'name': 'song_4', 'value': 'No Problem (feat. Lil Wayne & 2 Chainz) - by Chance The Rapper'}, {'name': 'song_2', 'value': 'Go Fuck Yourself - by Two Feet'}, {'name': 'song_5', 'value': 'Another Day in Paradise - by Quinn XCII'}, {'name': 'playlist_name', 'value': 'get away'}]",gemma2-9b-it,299136,Mr. Brightside - by The Killers
"[{'name': 'song_2', 'value': 'Go Fuck Yourself - by Two Feet'}, {'name': 'song_1', 'value': 'Paris - by The Chainsmokers'}, {'name': 'song_5', 'value': 'Another Day in Paradise - by Quinn XCII'}, {'name': 'song_3', 'value': 'Weekend (feat. Miguel) - by Mac Miller'}, {'name': 'song_4', 'value': 'No Problem (feat. Lil Wayne & 2 Chainz) - by Chance The Rapper'}, {'name': 'playlist_name', 'value': 'get away'}]",gemma2-9b-it,299136,Seven Nation Army - by The White Stripes
"[{'name': 'song_1', 'value': 'Paris - by The Chainsmokers'}, {'name': 'song_5', 'value': 'Another Day in Paradise - by Quinn XCII'}, {'name': 'song_2', 'value': 'Go Fuck Yourself - by Two Feet'}, {'name': 'song_3', 'value': 'Weekend (feat. Miguel) - by Mac Miller'}, {'name': 'song_4', 'value': 'No Problem (feat. Lil Wayne & 2 Chainz) - by Chance The Rapper'}, {'name': 'playlist_name', 'value': 'get away'}]",gemma2-9b-it,299136,The Sound - by The 1975
"[{'name': 'song_3', 'value': 'Bonfire Heart - by James Blunt'}, {'name': 'song_4', 'value': 'Postcards - by James Blunt'}, {'name': 'song_5', 'value': 'When I Find Love Again - by James Blunt'}, {'name': 'song_1', 'value': 'Brave - by Sara Bareilles'}, {'name': 'song_2', 'value': 'Fine By Me - by Andy Grammer'}, {'name': 'playlist_name', 'value': 'Road Trip'}]",gemma2-9b-it,302147,Chasing Cars - by Snow Patrol
"[{'name': 'song_1', 'value': 'Brave - by Sara Bareilles'}, {'name': 'song_2', 'value': 'Fine By Me - by Andy Grammer'}, {'name': 'song_3', 'value': 'Bonfire Heart - by James Blunt'}, {'name': 'song_4', 'value': 'Postcards - by James Blunt'}, {'name': 'song_5', 'value': 'When I Find Love Again - by James Blunt'}, {'name': 'playlist_name', 'value': 'Road Trip'}]",gemma2-9b-it,302147,Mr. Brightside - by The Killers
"[{'name': 'song_3', 'value': 'Bonfire Heart - by James Blunt'}, {'name': 'song_4', 'value': 'Postcards - by James Blunt'}, {'name': 'song_5', 'value': 'When I Find Love Again - by James Blunt'}, {'name': 'playlist_name', 'value': 'Road Trip'}, {'name': 'song_1', 'value': 'Brave - by Sara Bareilles'}, {'name': 'song_2', 'value': 'Fine By Me - by Andy Grammer'}]",gemma2-9b-it,302147,The Scientist - by Coldplay
"[{'name': 'song_1', 'value': 'Brave - by Sara Bareilles'}, {'name': 'song_2', 'value': 'Fine By Me - by Andy Grammer'}, {'name': 'song_3', 'value': 'Bonfire Heart - by James Blunt'}, {'name': 'song_4', 'value': 'Postcards - by James Blunt'}, {'name': 'song_5', 'value': 'When I Find Love Again - by James Blunt'}, {'name': 'playlist_name', 'value': 'Road Trip'}]",gemma2-9b-it,302147,Uptown Funk - by Mark Ronson ft. Bruno Mars
"[{'name': 'song_4', 'value': 'All That She Wants'}, {'name': 'song_5', 'value': 'Be My Lover'}, {'name': 'playlist_name', 'value': 'throwback thursday'}, {'name': 'song_1', 'value': ""Jumpin', Jumpin'""}, {'name': 'song_2', 'value': 'One, Two Step'}, {'name': 'song_3', 'value': 'Party Up'}]",gemma2-9b-it,302573,MMMBop - by Hanson
"[{'name': 'song_1', 'value': ""Jumpin', Jumpin' - by Destiny's Child""}, {'name': 'song_2', 'value': 'One, Two Step - by Ciara'}, {'name': 'song_3', 'value': 'Party Up - by DMX'}, {'name': 'song_4', 'value': 'All That She Wants - by Ace of Base'}, {'name': 'song_5', 'value': 'Be My Lover - by La Bouche'}, {'name': 'playlist_name', 'value': 'throwback thursday'}]",gemma2-9b-it,302573,Mr. Brightside - by The Killers
"[{'name': 'song_1', 'value': ""Jumpin', Jumpin' - by Destiny's Child""}, {'name': 'song_2', 'value': 'One, Two Step - by Ciara'}, {'name': 'playlist_name', 'value': 'throwback thursday'}, {'name': 'song_3', 'value': 'Party Up - by DMX'}, {'name': 'song_4', 'value': 'All That She Wants - by Ace of Base'}, {'name': 'song_5', 'value': 'Be My Lover - by La Bouche'}]",gemma2-9b-it,302573,No Scrubs - by TLC
"[{'name': 'song_1', 'value': ""Jumpin', Jumpin' - by Destiny's Child""}, {'name': 'song_2', 'value': 'One, Two Step - by Ciara'}, {'name': 'song_3', 'value': 'Party Up - by DMX'}, {'name': 'song_4', 'value': 'All That She Wants - by Ace of Base'}, {'name': 'song_5', 'value': 'Be My Lover - by La Bouche'}, {'name': 'playlist_name', 'value': 'throwback thursday'}]",gemma2-9b-it,302573,Uptown Funk - by Mark Ronson ft. Bruno Mars
"[{'name': 'playlist_name', 'value': 'sleepy'}, {'name': 'song_1', 'value': 'High Hopes - by Kodaline'}, {'name': 'song_3', 'value': 'Let Her Go - by Passenger'}, {'name': 'song_2', 'value': 'Apologize - by OneRepublic'}, {'name': 'song_4', 'value': 'Uncover - by Zara Larsson'}, {'name': 'song_5', 'value': ""Please Don't Go - by Joel Adams""}]",gemma2-9b-it,308573,Can't Stop the Feeling! - by Justin Timberlake
"[{'name': 'playlist_name', 'value': 'sleepy'}, {'name': 'song_3', 'value': 'Let Her Go - by Passenger'}, {'name': 'song_1', 'value': 'High Hopes - by Kodaline'}, {'name': 'song_2', 'value': 'Apologize - by OneRepublic'}, {'name': 'song_5', 'value': ""Please Don't Go - by Joel Adams""}, {'name': 'song_4', 'value': 'Uncover - by Zara Larsson'}]",gemma2-9b-it,308573,Skinny Love - by Bon Iver
"[{'name': 'song_3', 'value': 'Let Her Go - by Passenger'}, {'name': 'song_1', 'value': 'High Hopes - by Kodaline'}, {'name': 'song_2', 'value': 'Apologize - by OneRepublic'}, {'name': 'song_5', 'value': ""Please Don't Go - by Joel Adams""}, {'name': 'song_4', 'value': 'Uncover - by Zara Larsson'}, {'name': 'playlist_name', 'value': 'sleepy'}]",gemma2-9b-it,308573,The Scientist - by Coldplay
"[{'name': 'playlist_name', 'value': 'sleepy'}, {'name': 'song_1', 'value': 'High Hopes - by Kodaline'}, {'name': 'song_2', 'value': 'Apologize - by OneRepublic'}, {'name': 'song_3', 'value': 'Let Her Go - by Passenger'}, {'name': 'song_4', 'value': 'Uncover - by Zara Larsson'}, {'name': 'song_5', 'value': ""Please Don't Go - by Joel Adams""}]",gemma2-9b-it,308573,Uptown Funk - by Mark Ronson ft. Bruno Mars
"[{'name': 'playlist_name', 'value': 'RnB/HipHop'}, {'name': 'song_1', 'value': ""Lovin' It [feat. Joe Scudda] - feat. Joe Scudda Explicit Versiont - by Little Brother""}, {'name': 'song_2', 'value': 'Selfish - by Slum Village'}, {'name': 'song_3', 'value': 'So Fresh - by CJ Hilton'}, {'name': 'song_4', 'value': 'Be Alright - by Ebrahim'}, {'name': 'song_5', 'value': 'Pretty Girls - by Wale'}]",gemma2-9b-it,316243,Bohemian Rhapsody - by Queen
"[{'name': 'playlist_name', 'value': 'RnB/HipHop'}, {'name': 'song_2', 'value': 'Selfish - by Slum Village'}, {'name': 'song_1', 'value': ""Lovin' It [feat. Joe Scudda] - feat. Joe Scudda Explicit Versiont - by Little Brother""}, {'name': 'song_3', 'value': 'So Fresh - by CJ Hilton'}, {'name': 'song_4', 'value': 'Be Alright - by Ebrahim'}, {'name': 'song_5', 'value': 'Pretty Girls - by Wale'}]",gemma2-9b-it,316243,Ms. Jackson - by Outkast
"[{'name': 'playlist_name', 'value': 'RnB/HipHop'}, {'name': 'song_1', 'value': ""Lovin' It [feat. Joe Scudda] - feat. Joe Scudda Explicit Versiont - by Little Brother""}, {'name': 'song_2', 'value': 'Selfish - by Slum Village'}, {'name': 'song_3', 'value': 'So Fresh - by CJ Hilton'}, {'name': 'song_4', 'value': 'Be Alright - by Ebrahim'}, {'name': 'song_5', 'value': 'Pretty Girls - by Wale'}]",gemma2-9b-it,316243,Seven Nation Army - by The White Stripes
"[{'name': 'playlist_name', 'value': 'RnB/HipHop'}, {'name': 'song_2', 'value': 'Selfish - by Slum Village'}, {'name': 'song_1', 'value': ""Lovin' It [feat. Joe Scudda] - feat. Joe Scudda Explicit Versiont - by Little Brother""}, {'name': 'song_3', 'value': 'So Fresh - by CJ Hilton'}, {'name': 'song_4', 'value': 'Be Alright - by Ebrahim'}, {'name': 'song_5', 'value': 'Pretty Girls - by Wale'}]",gemma2-9b-it,316243,U Remind Me - by Usher
"[{'name': 'playlist_name', 'value': 'R&B'}, {'name': 'song_1', 'value': 'All of Me - by John Legend'}, {'name': 'song_2', 'value': 'Bed - by J. Holiday'}, {'name': 'song_3', 'value': 'So Sick - by Ne-Yo'}, {'name': 'song_5', 'value': 'Halo - by Beyoncé'}, {'name': 'song_4', 'value': 'Let Her Go - by Passenger'}]",gemma2-9b-it,319272,Adorn - by Miguel
"[{'name': 'song_1', 'value': 'All of Me - by John Legend'}, {'name': 'song_5', 'value': 'Halo - by Beyoncé'}, {'name': 'playlist_name', 'value': 'R&B'}, {'name': 'song_2', 'value': 'Bed - by J. Holiday'}, {'name': 'song_3', 'value': 'So Sick - by Ne-Yo'}, {'name': 'song_4', 'value': 'Let Her Go - by Passenger'}]",gemma2-9b-it,319272,Earned It - by The Weeknd
"[{'name': 'playlist_name', 'value': 'R&B'}, {'name': 'song_1', 'value': 'All of Me - by John Legend'}, {'name': 'song_2', 'value': 'Bed - by J. Holiday'}, {'name': 'song_3', 'value': 'So Sick - by Ne-Yo'}, {'name': 'song_5', 'value': 'Halo - by Beyoncé'}, {'name': 'song_4', 'value': 'Let Her Go - by Passenger'}]",gemma2-9b-it,319272,Mr. Brightside - by The Killers
"[{'name': 'playlist_name', 'value': 'R&B'}, {'name': 'song_1', 'value': 'All of Me - by John Legend'}, {'name': 'song_2', 'value': 'Bed - by J. Holiday'}, {'name': 'song_3', 'value': 'So Sick - by Ne-Yo'}, {'name': 'song_5', 'value': 'Halo - by Beyoncé'}, {'name': 'song_4', 'value': 'Let Her Go - by Passenger'}]",gemma2-9b-it,319272,Shake It Off - by Taylor Swift
"[{'name': 'song_1', 'value': 'Fun & Games - by The Connells'}, {'name': 'song_2', 'value': 'Tiny Dancer - by Elton John'}, {'name': 'song_3', 'value': 'Landslide - by Dixie Chicks'}, {'name': 'song_4', 'value': 'Not Ready to Make Nice - by Dixie Chicks'}, {'name': 'song_5', 'value': 'Lose Yourself - Soundtrack Version - by Eminem'}, {'name': 'playlist_name', 'value': 'jams'}]",gemma2-9b-it,320742,Bohemian Rhapsody - by Queen
"[{'name': 'song_1', 'value': 'Fun & Games - by The Connells'}, {'name': 'song_3', 'value': 'Landslide - by Dixie Chicks'}, {'name': 'song_4', 'value': 'Not Ready to Make Nice - by Dixie Chicks'}, {'name': 'song_2', 'value': 'Tiny Dancer - by Elton John'}, {'name': 'playlist_name', 'value': 'jams'}, {'name': 'song_5', 'value': 'Lose Yourself - Soundtrack Version - by Eminem'}]",gemma2-9b-it,320742,Mr. Jones - by Counting Crows
"[{'name': 'song_1', 'value': 'Fun & Games - by The Connells'}, {'name': 'song_2', 'value': 'Tiny Dancer - by Elton John'}, {'name': 'song_3', 'value': 'Landslide - by Dixie Chicks'}, {'name': 'song_4', 'value': 'Not Ready to Make Nice - by Dixie Chicks'}, {'name': 'song_5', 'value': 'Lose Yourself - Soundtrack Version - by Eminem'}, {'name': 'playlist_name', 'value': 'jams'}]",gemma2-9b-it,320742,Stairway to Heaven - by Led Zeppelin
"[{'name': 'song_5', 'value': 'Lose Yourself - Soundtrack Version - by Eminem'}, {'name': 'song_1', 'value': 'Fun & Games - by The Connells'}, {'name': 'song_2', 'value': 'Tiny Dancer - by Elton John'}, {'name': 'song_3', 'value': 'Landslide - by Dixie Chicks'}, {'name': 'song_4', 'value': 'Not Ready to Make Nice - by Dixie Chicks'}, {'name': 'playlist_name', 'value': 'jams'}]",gemma2-9b-it,320742,Wide Awake - by Katy Perry
"[{'name': 'song_2', 'value': 'L-O-V-E - 2000 Digital Remaster - by Nat King Cole'}, {'name': 'song_4', 'value': 'Unforgettable (Duet with Nat ""King"" Cole) - 2000 Digital Remaster - by Nat King Cole'}, {'name': 'song_3', 'value': 'The Way You Look Tonight - by Frank Sinatra'}, {'name': 'song_5', 'value': 'Moon River - by Louis Armstrong'}, {'name': 'song_1', 'value': ""That's How Strong My Love Is - by Otis Redding""}, {'name': 'playlist_name', 'value': 'Way Back'}]",gemma2-9b-it,348766,Bohemian Rhapsody - by Queen
"[{'name': 'song_3', 'value': 'The Way You Look Tonight - by Frank Sinatra'}, {'name': 'song_2', 'value': 'L-O-V-E - 2000 Digital Remaster - by Nat King Cole'}, {'name': 'song_4', 'value': 'Unforgettable (Duet with Nat ""King"" Cole) - 2000 Digital Remaster - by Nat King Cole'}, {'name': 'song_5', 'value': 'Moon River - by Louis Armstrong'}, {'name': 'song_1', 'value': ""That's How Strong My Love Is - by Otis Redding""}, {'name': 'playlist_name', 'value': 'Way Back'}]",gemma2-9b-it,348766,Can't Help Falling in Love - by Elvis Presley
"[{'name': 'song_3', 'value': 'The Way You Look Tonight - by Frank Sinatra'}, {'name': 'song_2', 'value': 'L-O-V-E - 2000 Digital Remaster - by Nat King Cole'}, {'name': 'song_4', 'value': 'Unforgettable (Duet with Nat ""King"" Cole) - 2000 Digital Remaster - by Nat King Cole'}, {'name': 'song_5', 'value': 'Moon River - by Louis Armstrong'}, {'name': 'playlist_name', 'value': 'Way Back'}, {'name': 'song_1', 'value': ""That's How Strong My Love Is - by Otis Redding""}]",gemma2-9b-it,348766,Fly Me to the Moon - by Frank Sinatra
"[{'name': 'playlist_name', 'value': 'Way Back'}, {'name': 'song_1', 'value': ""That's How Strong My Love Is - by Otis Redding""}, {'name': 'song_2', 'value': 'L-O-V-E - 2000 Digital Remaster - by Nat King Cole'}, {'name': 'song_3', 'value': 'The Way You Look Tonight - by Frank Sinatra'}, {'name': 'song_4', 'value': 'Unforgettable (Duet with Nat ""King"" Cole) - 2000 Digital Remaster - by Nat King Cole'}, {'name': 'song_5', 'value': 'Moon River - by Louis Armstrong'}]",gemma2-9b-it,348766,Lose Yourself - by Eminem
"[{'name': 'song_1', 'value': 'Give Me Faith - by Elevation Worship'}, {'name': 'song_2', 'value': 'Behold Our God - by Sovereign Grace Music'}, {'name': 'song_3', 'value': 'The Proof of Your Love - by for KING & COUNTRY'}, {'name': 'song_4', 'value': 'Grace and Peace - by Sovereign Grace Music'}, {'name': 'song_5', 'value': 'Nothing in All the Earth - by Sovereign Grace Music'}, {'name': 'playlist_name', 'value': 'soul food'}]",gemma2-9b-it,373109,Bohemian Rhapsody - by Queen
"[{'name': 'song_1', 'value': 'Give Me Faith - by Elevation Worship'}, {'name': 'song_2', 'value': 'Behold Our God - by Sovereign Grace Music'}, {'name': 'song_3', 'value': 'The Proof of Your Love - by for KING & COUNTRY'}, {'name': 'song_4', 'value': 'Grace and Peace - by Sovereign Grace Music'}, {'name': 'song_5', 'value': 'Nothing in All the Earth - by Sovereign Grace Music'}, {'name': 'playlist_name', 'value': 'soul food'}]",gemma2-9b-it,373109,Lose Yourself - by Eminem
"[{'name': 'playlist_name', 'value': 'soul food'}, {'name': 'song_1', 'value': 'Give Me Faith - by Elevation Worship'}, {'name': 'song_2', 'value': 'Behold Our God - by Sovereign Grace Music'}, {'name': 'song_3', 'value': 'The Proof of Your Love - by for KING & COUNTRY'}, {'name': 'song_4', 'value': 'Grace and Peace - by Sovereign Grace Music'}, {'name': 'song_5', 'value': 'Nothing in All the Earth - by Sovereign Grace Music'}]",gemma2-9b-it,373109,Respect - by Aretha Franklin
"[{'name': 'song_1', 'value': 'Give Me Faith - by Elevation Worship'}, {'name': 'song_3', 'value': 'The Proof of Your Love - by for KING & COUNTRY'}, {'name': 'song_2', 'value': 'Behold Our God - by Sovereign Grace Music'}, {'name': 'song_4', 'value': 'Grace and Peace - by Sovereign Grace Music'}, {'name': 'song_5', 'value': 'Nothing in All the Earth - by Sovereign Grace Music'}, {'name': 'playlist_name', 'value': 'soul food'}]",gemma2-9b-it,373109,You Are My Sunshine - by Johnny Cash
"[{'name': 'song_1', 'value': 'Na Na - by Trey Songz'}, {'name': 'song_2', 'value': 'Bottoms Up - feat. Nicki Minaj - by Trey Songz'}, {'name': 'song_3', 'value': 'Heart Attack - by Trey Songz'}, {'name': 'song_4', 'value': 'Neighbors Know My Name - by Trey Songz'}, {'name': 'song_5', 'value': 'I Invented Sex [feat. Drake] - by Trey Songz'}, {'name': 'playlist_name', 'value': 'Baby makin'}]",gemma2-9b-it,383203,Lose Yourself - by Eminem
"[{'name': 'song_2', 'value': 'Bottoms Up - feat. Nicki Minaj - by Trey Songz'}, {'name': 'song_5', 'value': 'I Invented Sex [feat. Drake] - by Trey Songz'}, {'name': 'song_1', 'value': 'Na Na - by Trey Songz'}, {'name': 'song_4', 'value': 'Neighbors Know My Name - by Trey Songz'}, {'name': 'playlist_name', 'value': 'Baby makin'}, {'name': 'song_3', 'value': 'Heart Attack - by Trey Songz'}]",gemma2-9b-it,383203,Low - by Flo Rida feat. T-Pain
"[{'name': 'playlist_name', 'value': 'Baby makin'}, {'name': 'song_1', 'value': 'Na Na - by Trey Songz'}, {'name': 'song_3', 'value': 'Heart Attack - by Trey Songz'}, {'name': 'song_4', 'value': 'Neighbors Know My Name - by Trey Songz'}, {'name': 'song_5', 'value': 'I Invented Sex [feat. Drake] - by Trey Songz'}, {'name': 'song_2', 'value': 'Bottoms Up - feat. Nicki Minaj - by Trey Songz'}]",gemma2-9b-it,383203,Mr. Brightside - by The Killers
"[{'name': 'song_1', 'value': 'Na Na - by Trey Songz'}, {'name': 'song_3', 'value': 'Heart Attack - by Trey Songz'}, {'name': 'song_4', 'value': 'Neighbors Know My Name - by Trey Songz'}, {'name': 'song_5', 'value': 'I Invented Sex [feat. Drake] - by Trey Songz'}, {'name': 'song_2', 'value': 'Bottoms Up - feat. Nicki Minaj - by Trey Songz'}, {'name': 'playlist_name', 'value': 'Baby makin'}]",gemma2-9b-it,383203,Say It - by Tory Lanez
"[{'name': 'song_1', 'value': 'Intro: What Am I to You - by BTS'}, {'name': 'song_2', 'value': 'Butterfly - by BTS'}, {'name': 'song_4', 'value': 'Run - by BTS'}, {'name': 'song_3', 'value': 'BOOMBAYAH - KR Ver. - by BLACKPINK'}, {'name': 'song_5', 'value': 'Somebody Else - by The 1975'}, {'name': 'playlist_name', 'value': 'SEPT 2016'}]",gemma2-9b-it,389253,Dope - by BTS
"[{'name': 'song_3', 'value': 'BOOMBAYAH - KR Ver. - by BLACKPINK'}, {'name': 'song_1', 'value': 'Intro: What Am I to You - by BTS'}, {'name': 'song_2', 'value': 'Butterfly - by BTS'}, {'name': 'song_4', 'value': 'Run - by BTS'}, {'name': 'song_5', 'value': 'Somebody Else - by The 1975'}, {'name': 'playlist_name', 'value': 'SEPT 2016'}]",gemma2-9b-it,389253,Playing with Fire - by BLACKPINK
"[{'name': 'song_1', 'value': 'Intro: What Am I to You - by BTS'}, {'name': 'song_2', 'value': 'Butterfly - by BTS'}, {'name': 'song_3', 'value': 'BOOMBAYAH - KR Ver. - by BLACKPINK'}, {'name': 'song_4', 'value': 'Run - by BTS'}, {'name': 'song_5', 'value': 'Somebody Else - by The 1975'}, {'name': 'playlist_name', 'value': 'SEPT 2016'}]",gemma2-9b-it,389253,Someone Like You - by Adele
"[{'name': 'song_1', 'value': 'Intro: What Am I to You - by BTS'}, {'name': 'song_2', 'value': 'Butterfly - by BTS'}, {'name': 'song_3', 'value': 'BOOMBAYAH - KR Ver. - by BLACKPINK'}, {'name': 'song_4', 'value': 'Run - by BTS'}, {'name': 'song_5', 'value': 'Somebody Else - by The 1975'}, {'name': 'playlist_name', 'value': 'SEPT 2016'}]",gemma2-9b-it,389253,Stairway to Heaven - by Led Zeppelin
"[{'name': 'playlist_name', 'value': 'COMEDY'}, {'name': 'song_1', 'value': 'Hurt Feelings - by Flight of the Conchords'}, {'name': 'song_2', 'value': 'Hiphopopotamus vs. Rhymenoceros [feat. Rhymenoceros and the Hiphopopotamus] - by Flight of the Conchords'}, {'name': 'song_3', 'value': ""If You're Into It - by Flight of the Conchords""}, {'name': 'song_4', 'value': 'Robots - by Flight of the Conchords'}, {'name': 'song_5', 'value': 'Wonderboy - by Tenacious D'}]",gemma2-9b-it,405780,Bohemian Rhapsody - by Queen
"[{'name': 'song_1', 'value': 'Hurt Feelings - by Flight of the Conchords'}, {'name': 'song_2', 'value': 'Hiphopopotamus vs. Rhymenoceros [feat. Rhymenoceros and the Hiphopopotamus] - by Flight of the Conchords'}, {'name': 'song_3', 'value': ""If You're Into It - by Flight of the Conchords""}, {'name': 'song_4', 'value': 'Robots - by Flight of the Conchords'}, {'name': 'playlist_name', 'value': 'COMEDY'}, {'name': 'song_5', 'value': 'Wonderboy - by Tenacious D'}]",gemma2-9b-it,405780,Business Time - by Flight of the Conchords
"[{'name': 'playlist_name', 'value': 'COMEDY'}, {'name': 'song_1', 'value': 'Hurt Feelings - by Flight of the Conchords'}, {'name': 'song_2', 'value': 'Hiphopopotamus vs. Rhymenoceros [feat. Rhymenoceros and the Hiphopopotamus] - by Flight of the Conchords'}, {'name': 'song_3', 'value': ""If You're Into It - by Flight of the Conchords""}, {'name': 'song_4', 'value': 'Robots - by Flight of the Conchords'}, {'name': 'song_5', 'value': 'Wonderboy - by Tenacious D'}]",gemma2-9b-it,405780,Stairway to Heaven - by Led Zeppelin
"[{'name': 'song_5', 'value': 'Wonderboy - by Tenacious D'}, {'name': 'playlist_name', 'value': 'COMEDY'}, {'name': 'song_1', 'value': 'Hurt Feelings - by Flight of the Conchords'}, {'name': 'song_2', 'value': 'Hiphopopotamus vs. Rhymenoceros [feat. Rhymenoceros and the Hiphopopotamus] - by Flight of the Conchords'}, {'name': 'song_3', 'value': ""If You're Into It - by Flight of the Conchords""}, {'name': 'song_4', 'value': 'Robots - by Flight of the Conchords'}]",gemma2-9b-it,405780,Tribute - by Tenacious D
"[{'name': 'playlist_name', 'value': 'throwbacks'}, {'name': 'song_1', 'value': 'Sugar (feat. Francesco Yates) - by Robin Schulz'}, {'name': 'song_2', 'value': 'Fire Burning - by Sean Kingston'}, {'name': 'song_3', 'value': 'Eenie Meenie - by Justin Bieber'}, {'name': 'song_4', 'value': 'Do You Remember - by Jay Sean'}, {'name': 'song_5', 'value': 'Replay - by Iyaz'}]",gemma2-9b-it,448671,Blinding Lights - by The Weeknd
"[{'name': 'playlist_name', 'value': 'throwbacks'}, {'name': 'song_2', 'value': 'Fire Burning - by Sean Kingston'}, {'name': 'song_3', 'value': 'Eenie Meenie - by Justin Bieber'}, {'name': 'song_4', 'value': 'Do You Remember - by Jay Sean'}, {'name': 'song_5', 'value': 'Replay - by Iyaz'}, {'name': 'song_1', 'value': 'Sugar (feat. Francesco Yates) - by Robin Schulz'}]",gemma2-9b-it,448671,Party Rock Anthem - by LMFAO
